#{"t_start": 1781761738.868098, "env_id": "None"}
r,l,t
3168.0,1000,3.017004
2345.0,1000,3.44161
2451.0,1000,4.772677
1839.0,1000,5.184035
3616.0,1000,6.510332
2067.0,1000,6.944174
3624.0,1000,8.213305
3740.0,1000,8.717178
3368.0,1000,9.97849
3049.0,1000,10.438098
2680.0,1000,11.76029
3957.0,1000,12.218309
2095.0,1000,13.546969
1066.0,1000,13.94948
3029.0,1000,15.228959
3052.0,1000,15.657619
1997.0,1000,16.960117
1246.0,1000,17.382151
2485.0,1000,18.748889
2253.0,1000,19.155321
2480.0,1000,20.469619
1072.0,1000,20.890889
1059.0,1000,22.173716
2783.0,1000,22.679605
2854.0,1000,23.976923
2218.0,1000,24.380919
2753.0,1000,25.627999
2389.0,1000,26.122087
1944.0,1000,27.334887
2761.0,1000,27.834313
3631.0,1000,29.084646
3167.0,1000,29.511005
3368.0,1000,30.782928
2157.0,1000,31.189698
999.0,1000,32.480809
1202.0,1000,32.915272
2875.0,1000,34.142007
3110.0,1000,34.563901
1519.0,1000,35.847642
1333.0,1000,36.283419
2374.0,1000,37.556379
3009.0,1000,38.03174
1957.0,1000,38.440833
1622.0,1000,39.731403
1776.0,1000,40.151793
2850.0,1000,41.430824
3680.0,1000,41.8525
3012.0,1000,43.172473
1460.0,1000,43.606043
3815.0,1000,44.956582
2794.0,1000,45.362475
