Episode,Throughput,Latency,Fairness
1,215.0,329.0,0.7355398201924201
2,59.0,81.0,0.535126825518009
3,67.0,91.0,0.5340868530630171
4,82.0,165.0,0.7348633879773389
5,85.0,122.0,0.7961432506878279
6,158.0,124.0,0.7000560852493831
7,45.0,36.0,0.654281098543928
8,121.0,94.0,0.8817223727787523
9,107.0,129.0,0.9126345157425965
10,174.0,426.0,0.7290151697566268
11,185.0,268.0,0.8424615384613311
12,73.0,54.0,0.6979698755721049
13,124.0,447.0,0.7703406813623395
14,78.0,101.0,0.8960235640634816
15,55.0,274.0,0.853314527501119
16,149.0,437.0,0.7202270884020372
17,214.0,339.0,0.7796390875041234
18,94.0,134.0,0.9194588969813532
19,79.0,97.0,0.6470710212538651
20,103.0,173.0,0.8918873476243027
21,198.0,348.0,0.940143884891861
22,91.0,146.0,0.8310085298536567
23,88.0,70.0,0.761455260569556
24,119.0,113.0,0.7215796178340272
25,3.0,0.0,0.19999999995555556
26,30.0,83.0,0.3734439834009401
27,86.0,65.0,0.6117452440028025
28,52.0,26.0,0.7595505617956193
29,82.0,189.0,0.9185792349714227
30,180.0,224.0,0.8455114822544767
31,210.0,617.0,0.8308214016577185
32,75.0,118.0,0.6838905775067673
33,81.0,77.0,0.6049792531114753
34,88.0,83.0,0.6394715111472836
35,161.0,276.0,0.782520754716745
36,52.0,62.0,0.5840172786164493
37,121.0,159.0,0.8817223727787523
38,69.0,93.0,0.6377762893494471
39,107.0,65.0,0.9061337554405174
40,56.0,131.0,0.7143507972648876
41,74.0,176.0,0.9425129087763469
42,45.0,49.0,0.5056179775268275
43,29.0,80.0,0.3884526558873513
44,94.0,104.0,0.45312820512797275
45,160.0,264.0,0.8852005532500397
46,151.0,162.0,0.6329215822343837
47,223.0,338.0,0.9167480873811565
48,65.0,165.0,0.9275521405029034
49,87.0,93.0,0.707052779074538
50,60.0,89.0,0.45454545454488066
51,186.0,400.0,0.8073745624268828
52,85.0,116.0,0.7706666666658446
53,53.0,110.0,0.4526994359380295
54,134.0,128.0,0.727552674229851
55,44.0,76.0,0.5246612466110443
56,117.0,264.0,0.6918877937828193
57,54.0,55.0,0.5370165745846464
58,200.0,323.0,0.9451795841207598
59,42.0,129.0,0.4344827586196195
60,110.0,115.0,0.8231292517001203
61,68.0,82.0,0.8155202821855105
62,69.0,187.0,0.7456538762713459
63,153.0,185.0,0.8276118083787068
64,113.0,146.0,0.5332637293796061
65,99.0,85.0,0.9241867043838526
66,152.0,269.0,0.8120913884004175
67,235.0,564.0,0.7999565437820236
68,97.0,192.0,0.8345011086467099
69,56.0,48.0,0.5149425287347866
70,79.0,61.0,0.894767025088323
71,147.0,332.0,0.7618191433101492
72,172.0,433.0,0.7916510569973799
73,225.0,461.0,0.9821515180907979
74,110.0,55.0,0.6114199090446633
75,40.0,54.0,0.41994750656057755
76,88.0,228.0,0.8435729847485364
77,52.0,28.0,0.7883381924175268
78,80.0,93.0,0.630541871920561
79,70.0,88.0,0.6322580645153132
80,74.0,180.0,0.8136701337283601
81,144.0,158.0,0.8341110217213057
82,35.0,32.0,0.26486486486429217
83,108.0,168.0,0.9545008183298244
84,1.0,0.0,0.1999999996
85,82.0,145.0,0.6220166512482682
86,56.0,143.0,0.4618556701024126
87,2.0,0.0,0.1999999999
88,46.0,36.0,0.5845303867387168
89,23.0,26.0,0.3933085501829494
90,172.0,498.0,0.8501149425284914
91,217.0,280.0,0.9394314214461966
92,162.0,447.0,0.6523489932884285
93,187.0,345.0,0.690200335537217
94,289.0,813.0,0.7844188776707411
95,163.0,469.0,0.6095904554317748
96,186.0,327.0,0.7973265729428908
97,43.0,36.0,0.3665014866196898
98,105.0,269.0,0.7303742961240607
99,80.0,72.0,0.667361835244351
100,124.0,183.0,0.6593481989705577
