#{"t_start": 1781852174.5143862, "env_id": "None"}
r,l,t
2462.0,1000,2.548977
3491.0,1000,3.056489
1918.0,1000,3.593698
3593.0,1000,4.178901
325.0,1000,4.787098
4213.0,1000,5.412395
2684.0,1000,6.036855
1245.0,1000,6.653928
4155.0,1000,7.265729
2179.0,1000,7.899604
2166.0,1000,8.517126
4104.0,1000,9.129607
4179.0,1000,9.741649
4109.0,1000,10.355822
360.0,1000,10.989522
448.0,1000,11.602537
249.0,1000,12.24718
1266.0,1000,12.867149
2213.0,1000,13.470075
4175.0,1000,14.139792
4060.0,1000,14.753624
1659.0,1000,15.363363
4120.0,1000,15.970985
4116.0,1000,16.5975
2172.0,1000,17.279453
4114.0,1000,17.901825
1665.0,1000,18.515007
2835.0,1000,19.171996
2125.0,1000,19.788379
1412.0,1000,20.404935
3445.0,1000,21.041889
4088.0,1000,21.670549
2026.0,1000,22.296512
2232.0,1000,22.899291
4121.0,1000,23.511734
509.0,1000,24.149171
379.0,1000,24.846322
4340.0,1000,25.581503
2258.0,1000,26.206934
2228.0,1000,26.814307
4164.0,1000,27.422723
4195.0,1000,28.057119
4075.0,1000,28.671139
1414.0,1000,29.280992
3984.0,1000,29.889482
4335.0,1000,30.499944
4209.0,1000,31.127109
4258.0,1000,31.733335
4160.0,1000,32.330786
830.0,1000,32.952128
