#{"t_start": 1782059426.603846, "env_id": "None"}
r,l,t
3909.0,1000,4.919932
3529.0,1000,6.35651
2256.0,1000,7.293628
3136.0,1000,7.955133
2984.0,1000,8.579985
3172.0,1000,9.206812
3230.0,1000,9.864574
2379.0,1000,10.502977
2359.0,1000,11.132681
3480.0,1000,11.759329
4429.0,1000,12.44318
3175.0,1000,13.069983
2823.0,1000,13.790336
5015.0,1000,14.430396
2430.0,1000,15.053174
2999.0,1000,15.68896
3848.0,1000,16.327447
3213.0,1000,16.972554
4617.0,1000,17.590222
3484.0,1000,18.210922
2317.0,1000,18.833048
2016.0,1000,19.469358
2417.0,1000,20.082422
3531.0,1000,20.721964
4473.0,1000,21.345512
4008.0,1000,21.997139
3059.0,1000,22.652579
2506.0,1000,23.278661
1004.0,1000,23.910326
1677.0,1000,24.57056
4178.0,1000,25.210974
4339.0,1000,25.836503
3439.0,1000,26.459178
2163.0,1000,27.08231
3682.0,1000,27.713654
1580.0,1000,28.360876
2806.0,1000,29.004871
4353.0,1000,29.629814
2668.0,1000,30.276667
3611.0,1000,30.940458
3091.0,1000,31.584054
2404.0,1000,32.227519
3797.0,1000,32.860257
3242.0,1000,33.492841
2974.0,1000,34.191194
3436.0,1000,34.848734
2697.0,1000,35.506526
3801.0,1000,36.136948
2168.0,1000,36.768328
3756.0,1000,37.414107
