#{"t_start": 1782367788.5450015, "env_id": "None"}
r,l,t
3987.0,1000,2.56758
3606.0,1000,3.079843
3691.0,1000,3.64467
4032.0,1000,4.256375
4117.0,1000,4.899646
4059.0,1000,5.620361
2377.0,1000,6.286886
2259.0,1000,6.963399
2791.0,1000,7.602658
4195.0,1000,8.248536
2704.0,1000,8.959231
3679.0,1000,10.212491
3817.0,1000,12.033561
3647.0,1000,13.963868
3879.0,1000,15.810226
3573.0,1000,17.654356
2061.0,1000,19.479944
3080.0,1000,21.247192
2571.0,1000,23.012152
2874.0,1000,24.803047
3669.0,1000,26.661715
3890.0,1000,28.454616
4589.0,1000,30.270848
1375.0,1000,32.08439
3551.0,1000,33.933062
4165.0,1000,35.766985
2347.0,1000,37.525896
4117.0,1000,39.292242
2764.0,1000,41.133376
3107.0,1000,42.918088
2683.0,1000,44.706013
2755.0,1000,46.467579
2918.0,1000,48.30581
2481.0,1000,50.075515
1864.0,1000,51.859125
3036.0,1000,53.718155
3261.0,1000,55.572949
4103.0,1000,57.346484
4673.0,1000,59.112771
4688.0,1000,60.872538
3948.0,1000,62.683554
1595.0,1000,64.473221
3826.0,1000,66.248323
5199.0,1000,68.016402
2273.0,1000,69.846471
4149.0,1000,71.650199
3139.0,1000,73.437731
2590.0,1000,75.215004
5083.0,1000,77.059286
4361.0,1000,78.856744
